name,url,image,area,address,contact,latitude,longitude
赤嵌里活動中心,http://tnda.tainan.gov.tw/acthouse/actpage.asp?mainid=215449DF-A922-46D0-B166-7A191619AEA3,http://tnda.tainan.gov.tw/warehouse/A20000/2011053001.jpg,中西區,臺南市中西區觀亭街76號,0972047555,22.997204,120.205776
漳洲、海澄社區活動中心,http://tnda.tainan.gov.tw/acthouse/actpage.asp?mainid=3F85886C-C1B0-4522-AEE4-041CD841D0E0,http://tnda.tainan.gov.tw/warehouse/B70000/DSC00530.JPG,佳里區,臺南市佳里區漳洲里4鄰204號,蘇里長0933339700,23.179888,120.154687
幸福社區活動中心,http://tnda.tainan.gov.tw/acthouse/actpage.asp?mainid=471F642B-C0E4-4004-A57A-81914A0DBD9C,http://tnda.tainan.gov.tw/warehouse/A50000/幸福社區活動中心.jpg,安南區,臺南市安南區府安路6段85號,06-2589905,23.0189702665479,120.188425
州南社區活動中心,http://tnda.tainan.gov.tw/acthouse/actpage.asp?mainid=4ACEE99F-7A35-4B89-BF8B-48F445C923B2,http://tnda.tainan.gov.tw/warehouse/A50000/州南社區活動中心.jpg,安南區,臺南市安南區安和路4段537巷46號,06-3556639,23.0629000763679,120.218218
龍崎區石𥕢里民活動中心,http://tnda.tainan.gov.tw/acthouse/actpage.asp?mainid=57944CDD-516A-4AD0-ACA8-0CEF7B1FF7F3,http://tnda.tainan.gov.tw/warehouse/D50000/100_2163.JPG,龍崎區,臺南市龍崎區石𥕢里4鄰刺仔崙13-3號,0910869520,22.9552653380552,120.40551879382
崙頂里活動中心,http://tnda.tainan.gov.tw/acthouse/actpage.asp?mainid=BDC128A4-42AC-4797-8701-DF9732339DFF,http://tnda.tainan.gov.tw/warehouse/D30000/崙頂里.jpg,歸仁區,臺南市歸仁區崙頂街38號,2302582,22.958491,120.29665
龍崎區大坪里民活動中心,http://tnda.tainan.gov.tw/acthouse/actpage.asp?mainid=E4674B33-2394-4F5F-A3EA-96DD8D7F6506,http://tnda.tainan.gov.tw/warehouse/D50000/100_3120.JPG,龍崎區,臺南市龍崎區大坪里37之2號,0919113833,22.9516394807429,120.35650437941
大埕里活動中心,http://tnda.tainan.gov.tw/acthouse/actpage.asp?mainid=82B605F2-4D8E-4372-A241-E4669A48640B,http://tnda.tainan.gov.tw/warehouse/B20000/clip_image002(3).jpg,麻豆區,臺南市麻豆區大埕里16鄰大同街26號之2,06-5721937,23.1863892202211,120.246224427223
田寮里活動中心,http://tnda.tainan.gov.tw/acthouse/actpage.asp?mainid=F77FE305-2F79-4E4D-BAEA-AF7D465D5B74,http://tnda.tainan.gov.tw/warehouse/C40000/IMG_1419(1).JPG,善化區,臺南市善化區田寮里六分寮68號之9,0912212448,23.1532084780038,120.304605388641
明興社區活動中心,http://tnda.tainan.gov.tw/acthouse/actpage.asp?mainid=FD3C1A4F-8510-48EB-B8F3-3EBA71B017C4,http://tnda.tainan.gov.tw/warehouse/A10000/明興1.jpg,南區,臺南市南區德興路88號,06-2630855,22.965690519128,120.192395
