編號,用戶名稱,用電地址
50,交通部台灣鐵路管理局（台南電力段）,臺南市善化區光文路坐駕里８鄰３９號
51,三福氣體股份有限公司,臺南市善化區安順一路３號
52,大統益股份有限公司,臺南市官田區工業西路３２號
53,南茂科技股份有限公司（ＴＢ廠）,臺南市新市區南科七路５號
54,奇美材料科技股份有限公司,臺南市善化區木柵港西路１３號
55,新日光能源科技股份有限公司,臺南市安南區本田路二段５１８號
56,宜進實業股份有限公司,臺南市新市區大營里２號
57,大亞電線電纜股份有限公司,臺南市關廟區中山路二段２４９號
58,力特光電科技股份有限公司南科分公司,臺南市善化區三抱竹９號
59,榮剛材料科技股份有限公司,臺南市柳營區大農里環園西路二段２號
60,群創光電股份有限公司（Ｃ廠－ＬＣＭ廠Ｂ棟）,臺南市善化區南科八路１２－１號
61,得力實業股份有限公司,臺南市新市區三舍里２４０號
62,晶元光電股份有限公司,臺南市善化區南科八路１１號
63,三星科技股份有限公司,臺南市歸仁區南興里中山路三段３５５號
64,易昇鋼鐵股份有限公司,臺南市永康區經中路１１號
65,東和紡織股份有限公司,臺南市麻豆區小埤里工業路２２７號
66,茂迪股份有限公司園區分公司,臺南市新市區大順九路１８號
67,台灣史谷脫紙業股份有限公司新營廠,臺南市新營區太子路３２１號
68,台灣菸酒股份有限公司善化啤酒廠,臺南市善化區成功路２號
69,益通光能科技股份有限公司,臺南市安南區工業三路２６號
70,台灣杰士電池工業股份有限公司（永康廠）,臺南市永康區中正北路９９９號
71,台灣積體電路製造股份有限公司１４Ｂ廠（Ｆ１４Ｐ７）,臺南市善化區善科段１７７－０地號
72,千興不銹鋼股份有限公司,臺南市麻豆區小埤里工業路２２２號
73,帝寶工業股份有限公司新營廠,臺南市新營區復興路７５６號
74,可成科技（股）公司,臺南市安南區本田路二段５００號
75,達方電子股份有限公司台南廠,臺南市工業二路２１號１－５樓
76,宇通光能股份有限公司,臺南市新市區新科段１７１－０地號
77,新世紀光電股份有限公司,臺南市善化區環東路二段３１號
78,晶元光電（股）公司（Ｓ２ＡＢ）,臺南市新市區大順九路１６號
79,新日光能源科技股份有限公司,臺南市安南區科工段１，７地號
80,興南鑄造廠（股）公司山上一廠,臺南市山上區明和里北勢洲９０號
81,官田鋼鐵股份有限公司,臺南市麻豆區麻口里麻豆口３２－６號
82,恆大股份有限公司白河製造廠,臺南市白河區庄內里中山路５２６號
83,茂迪股份有限公司園區分公司６Ａ廠,臺南市安定區北園三路８號
84,堤維西交通工業（股）科工廠,臺南市安南區本田路二段３７７號
85,東弘金屬工業股份有限公司,臺南市新市區三舍里１５３號
86,台灣神隆股份有限公司,臺南市善化區南科八路１號１－４樓
87,東陽實業廠股份有限公司二廠,臺南市政安路１２６號
88,大億交通工業製造股份有限公司,臺南市新信路１１號
89,東展興業股份有限公司,臺南市山上區北勢洲９８號
90,益通光能科技股份有限公司,臺南市安南區本田路二段４９８號１－５樓
91,新光三越百貨股份有限公司台南西門分公司,臺南市西門路一段６５８號（Ａ棟地下四層道十二層）
92,長榮大學,臺南市歸仁區長大路１號一－六樓
93,南元紡織股份有限公司新市廠,臺南市新市區港墘里興業路２號
94,台暉鋁業股份有限公司,臺南市官田區二鎮里工業路５號
95,旗勝科技股份有限公司,臺南市麻豆區寮廍里寮仔廍１６６－２０號
96,三星熱處理工廠股份有限公司柯吉源,臺南市歸仁區南興里中山路三段３５５－２號
97,新光三越百貨（股）台南西門分公司,臺南市西門路一段６５８號
98,茂迪股份有限公司園區分公司６Ａ廠,臺南市安定區安科段８地號
99,崑山科技大學,臺南市永康區崑大路１９５號
100,興南鑄造廠股份有限公司山上三廠,臺南市山上區北勢洲９０－３號
101,嘉藥學校財團法人嘉南藥理大學,臺南市仁德區二仁路一段６０號
102,長榮鋼鐵股份有限公司新營廠,臺南市鹽水區八德路６６號
103,遠東百貨股份有限公司台南成功分公司,臺南市東區前鋒路２１０號（地下三樓至地上六樓）
104,福光企業股份有限公司,臺南市仁德區中正西路２０２巷２３９號
105,台南家專學校財團法人台南應用科技大學,臺南市永康區中正路５２９號
106,奇美醫療財團法人奇美醫院,臺南市永康區中華路９０１號
107,可成科技（股）公司仁愛二廠,臺南市永康區仁愛街３９８號
108,光洋應用材料科技（股）公司,臺南市安南區工業三路１號
109,新光三越百貨股份有限公司台南中山分公司,臺南市中山路１６２號一－十三樓及地下一－五樓
110,東陽實業廠股份有限公司,臺南市安南區安和路二段９８號暨５４巷６９號
111,凱士士企業股份有限公司,臺南市七股區篤加里１３９號平樓
112,榮星電線工業（股）公司,臺南市仁德區中正路三段２３１號
113,康那香企業股份有限公司佳里三廠,臺南市將軍區保源里源頭１之２號╴
114,精剛精密科技股份有限公司,臺南市柳營區大農里工一路１５號
115,祐鉅工業有限公司,臺南市佳里區六安里六安１１７－３７號１－３樓
116,國立成功大學醫學院附設醫院,臺南市東區小東路３５號及東豐路１６６號
117,豊年豊和企業（股）公司上崙一廠,臺南市仁德區崑崙路２０１號
118,三新紡織股份有限公司,臺南市永康區蔦松里中正北路７１１號
119,統奕包裝股份有限公司,臺南市麻豆區麻口里麻豆口１－３１號
120,大成不銹鋼工業股份有限公司,臺南市仁德區新田二街１２５號
121,永裕塑膠工業（股）公司仁德廠,臺南市仁德區勝利路８８號
122,南台科技大學,臺南市永康區南台街１號
123,三福化工股份有限公司善化廠,臺南市善化區小新里３４０號
124,奇美醫療財團法人柳營奇美醫院,臺南市柳營區太康里２０１號
125,強新工業股份有限公司,臺南市佳里區海澄里萊芊寮１２－１９號一二樓
126,新世紀光電股份有限公司,臺南市善化區大利三路５號
127,大成長城企業（股）永康一廠,臺南市永康區蔦松二街３號
128,官田鋼鐵股份有限公司（永康廠）,臺南市永康區中正北路３１７巷１５號
129,科技部南部科學工業園區管理局（污水處理廠）,臺南市善化區環西路二段１０號
130,豊年豊和企業（股）上崙二廠,臺南市仁德區崑崙路２０３號
131,興南鑄造廠股份有限公司,臺南市永康區鹽洲里洲尾街７２號
132,能元科技股份有限公司,臺南市善化區大利二路１０號
133,康那香企業股份有限公司,臺南市將軍區三吉里三吉６６－１號１．２樓
134,統義玻璃工業股份有限公司,臺南市新營區嘉芳里新工路３６號
135,大成長城企業股份有限公司,臺南市柳營區大農里工六路８號
136,中華醫事科技大學,臺南市仁德區文華一街８９號
137,南光化學製藥股份有限公司,臺南市新化區中山路１００１號
138,遠東科技大學,臺南市新市區永就里中華路４９號
139,晶元光電（股）公司（Ｓ１Ｂ）,臺南市新市區大順九路１０號
140,台灣板保科技玻璃（股）公司,臺南市安南區科工段８１地號
141,台灣正昇金屬股份有限公司,臺南市新營區忠孝路１２號
142,旗勝科技股份有限公司,臺南市麻豆區寮廍里寮仔廍166-21號
143,東陽實業廠股份有限公司七廠,臺南市安和路二段５４巷１０５號一二樓
144,茂迪股份有限公司園區分公司,臺南市新市區大順九路３號
145,新光三越百貨股份有限公司台南西門分公司,臺南市西門路一段６５８號
146,大億國際酒店股份有限公司,臺南市西門路一段６６０號
147,正道工業股份有限公司,臺南市仁德區中正西路１０１５號
148,六合鋁業（股）,臺南市關廟區南雄路一段１００號
149,芳泉工業股份有限公司新營廠,臺南市官田區工業南路一號
150,生達化學製藥股份有限公司二廠,臺南市新營區開元路１５４號
151,佳大世界股份有限公司,臺南市永康區中正北路３１７巷１６號
152,堤維西交通工業股份有限公司科工廠,臺南市安南區本田路二段３７７號儲冷空調
153,豐盟企業股份有限公司中洲廠,臺南市仁德區中洲里中洲３０６－２號
154,東帝龍實業股份有限公司,臺南市仁德區中山路４８巷２號
155,泰慶皮革塑膠工業股份有限公司,臺南市麻豆區麻豆口１０－３號
156,德先股份有限公司台南分公司,臺南市中華東路三段３６０號地下五層地上１５層
157,恆耀國際股份有限公司,臺南市仁德區中正路一段６１６號
158,遠鼎股份有限公司台南分公司,臺南市東區大學路西段８９號七樓至３８樓
159,南慶紡織股份有限公司,臺南市新化區中正路１０５７號
160,奇菱科技股份有限公司,臺南市新市區王甲路１號
161,大成不銹鋼工業股份有限公司,臺南市仁德區義林路１２２號
162,台灣比菲多醱酵股份有限公司台南分公司,臺南市新市區中山路２５９號
163,茂迪股份有限公司園區分公司６Ｂ廠,臺南市安定區安科段８地號
164,光鋐科技股份有限公司,臺南市新市區創業路２號１－５樓
165,東陽實業廠股份有限公司三廠,臺南市安南區安和路二段９６號
166,岱稜科技股份有限公司,臺南市麻豆區麻口里麻豆口１－２０號
167,台灣明尼蘇達光電股份有限公司,臺南市新市區環東路一段３１２號Ｂ１，１，２樓
168,高青開發股份有限公司,臺南市中山路１６６號Ｂ１－Ｂ５，１－３Ｆ
169,興光工業股份有限公司,臺南市安南區科技三路３８號
170,昇明國際（股）仁德廠,臺南市仁德區二仁路一段２６３號
171,台灣穗高科技股份有限公司,臺南市新市區社內里環東路一段２號
172,煌昇機械企業股份有限公司,臺南市鹽水區水秀里土庫路２－１７號
173,宏葉新技股份有限公司,臺南市官田區二鎮里工業路１２號
174,世堃塑膠股份有限公司,臺南市麻豆區麻豆口32-26號
175,台灣糖業股份有限公司量販事業部嘉年華購物中心,臺南市仁德區大同路三段７５５號一樓之１～三樓，７５７號
176,山汰科技股份有限公司,臺南市永康區永科三路１９號
177,國立台南藝術大學,臺南市官田區大崎里６６號
178,嘉藥學校財團法人嘉南藥理大學,臺南市仁德區保安里保安路一段５６巷５５號
179,南緯實業股份有限公司,臺南市仁德區義林路１２６號
180,奇菱光電股份有限公司,臺南市仁德區勝利一街１８號一～四樓
181,中國鋼鐵結構股份有限公司（官田廠）,臺南市官田區二鎮里工業南路２號
182,光洋應用材料科技股份有限公司,臺南市柳營區環園東路２段３之１、３之２號
183,萬在工業股份有限公司,臺南市關廟區中山路二段２６０號
184,台灣家樂福股份有限公司安平分公司,臺南市中華西路二段１６號
185,儒億科技股份有限公司,臺南市麻豆區小埤里苓子林７－６號
186,新光三越百貨股份有限公司臺南西門分公司二館,臺南市中西區西門路一段６５８－１號
187,森鉅科技材料股份有限公司歸仁廠,臺南市歸仁區民生南街一段１８０號
188,崑山科技大學（宿舍）,臺南市永康區崑大路１９５號
189,基益企業（股）公司,臺南市安南區工業三路２６號
190,台灣成膜光電股份有限公司,臺南市安南區科工區工業三路６０號一～三樓
191,榮眾科技股份有限公司,臺南市新營區八德路１７號
192,協俐鑄造股份有限公司,臺南市山上區北勢洲２１之８號
193,森鉅科技材料股份有限公司,臺南市仁德區中山路１０巷１６號
194,全晉實業股份有限公司,臺南市鹽水區五福路１３６號
195,統懋半導體股份有限公司新市總廠,臺南市新市區港墘里中山路７６號
196,漢民科技股份有限公司,臺南市新市區大利一路５號
197,康那香企業股份有限公司,臺南市佳里區民安里同安寮７７－１號
198,奇景光電股份有限公司,臺南市新市區紫楝路２６號
199,家福股份有限公司台南仁德分公司,臺南市仁德區中山路７１１號
200,升呈鑄造股份有限公司,臺南市山上區北勢洲２１－７號
201,宏捷科技股份有限公司,臺南市新市區大利一路６號
202,佳大化工股份有限公司,臺南市善化區北子店６１１號
203,森田印刷廠股份有限公司,臺南市安南區科技五路８５號
204,台南市政府,臺南市永華路二段６號
205,台灣糖業公司新營副產加工廠,臺南市柳營區人和里義士路５段６９０號
206,華宏新技（股）公司官田廠,臺南市官田區二鎮里力行街６號
207,惠光股份有限公司台南廠,臺南市麻豆區小埤里苓子林２１號
208,仙宗興業有限公司,臺南市山上區明和里２５５－３號
209,南台科技大學,臺南市永康區南台街１號
210,台南市私立長榮高級中學,臺南市林森路二段７９號
211,傑俐實業股份有限公司,臺南市關廟區東榮街２８７號
212,三益制動科技股份有限公司,臺南市官田區二鎮里建業路４１號
213,國立臺南大學,台南樹林街二段３３號
214,日鶴實業股份有限公司,臺南市仁德區義林路２５６巷２３８號一～三樓
215,大成長城企業（股）肉品加工廠,臺南市永康區王行里環工路８７號
216,光洋應用材料科技股份有限公司,臺南市柳營區大農里工一路１６號
217,丞曜工業（股）,臺南市永康區經建路２號平房
218,亞獵士科技股份有限公司二廠,臺南市山上區明和里北勢洲２１－１０號
219,可成科技（股）公司仁愛一廠,臺南市永康區仁愛街３９８號
220,台灣龍盟科技股份有限公司,臺南市山上區北勢洲２４號
221,榮國企業股份有限公司,臺南市安和路三段１９０巷７５號
222,中鋼焊材廠股份有限公司,臺南市永康區環工路９９，１０１號
223,臺灣自來水股份有限公司第六區管理處,臺南市新市區潭頂里５４４號
224,台灣基督長老教會新樓醫療財團法人台南新樓醫院,臺南市東門路一段５７號１－５樓
225,達興纖維股份有限公司,臺南市新化區中正路７２０號
226,奇美實業股份有限公司樹谷廠,臺南市新市區豐華里王甲路１８號（善化善晶段８地號等６筆）
227,臺南市立安南醫院－委託中國醫藥大學興建經營,臺南市安南區長和路二段６６號
228,南晃交通器材工業股份有限公司,臺南市安南區科技三路６０號
229,大成長城企業股份有限公司柳營肉品廠,臺南市柳營區士林里柳營路一段４９１巷１２８弄１１號
230,峰毅光電科技股份有限公司,臺南市安南區工業二路１５０號
231,鹽水區冷凍肉雞產銷班肉雞電宰廠,臺南市鹽水區孫厝里孫厝寮４－９號
232,祥曉企業股份有限公司,臺南市仁德區保安路一段９０號
233,臺灣菸酒股份有限公司隆田酒廠,臺南市官田區隆本里中華路一段３３５號
234,港香蘭藥廠股份有限公司,臺南市永康區環工路９．１１號
235,強新工業股份有限公司佳里二廠,臺南市佳里區海澄里萊芊寮１－２５號１－２樓
236,招宏鋼鐵工業股份有限公司,臺南市永康區中正南路３６０巷１４號
237,凱士士企業股份有限公司附設工廠,臺南市七股區篤加里２３－１號
238,行政院衛生署台南醫院,臺南市中山路１２５號
239,維新鋁業（股）公司,臺南市仁德區二仁路一段４９１巷３１號
240,恆耀工業股份有限公司仁德廠,臺南市仁德區新田二街１號
241,鉅韋工業股份有限公司,臺南市仁德區勝利一街６號
242,冠昌塑膠企業股份有限公司第二廠,臺南市關廟區旺萊路６號
243,茂迪股份有限公司園區分公司６Ｂ廠,臺南市安定區北園三路８－１號
244,三皇生物科技股份有限公司善化總廠,臺南市善化區成功路４２７號
245,華寶樹脂化學工廠股份有限公司,臺南市佳里區海澄里萊芋寮１－１７號
246,財團法人台灣首府大學,臺南市麻豆區南勢里８７－１號
247,大潤發流通事業股份有限公司台南分公司,臺南市北區臨安路二段３１０號Ｂ１－２Ｆ，１Ｆ
248,全程興業股份有限公司新營廠,臺南市新營區嘉芳里八德路１８號
249,好市多股份有限公司南分公司,臺南市北區和緯路四段８號
250,晶華國際酒店股份有限公司台南分公司,臺南市中西區和意路１號
251,台灣糖業股份有限公司台糖長榮酒店（台南）,臺南市東區中華東路三段３３６巷１號
252,家福股份有限公司台南中正分公司,臺南市永康區中正南路３５８號一二三樓及ＢＦ
253,大成長城企業（股）公司永康廠,臺南市永康區蔦松二街１２號
254,瑞西精密工業股份有限公司,臺南市歸仁區中山路一段５８號
255,亞獵士航太科技股份有限公司,臺南市山上區明和里北勢洲２１－２號
256,皇家可口股份有限公司台南廠,臺南市新市區中山路１８２－１號
257,中強光電股份有限公司,臺南市善化區南科六路２－１號
258,金穎生物科技（股）公司南科分公司,臺南市善化區大利二路３號
259,正達國際光電股份有限公司南科分公司,臺南市善化區南科九路１０號１，２樓
260,台達電子工業股份有限公司台南分公司,臺南市善化區環東路二段３９號
261,台灣捷恩智股份有限公司,臺南市善化區大利三路３號
262,統程科技股份有限公司,臺南市安南區本田路二段４０７號１－３樓
263,洲晟實業股份有限公司,臺南市安南區工業三路６６號
264,台南市立醫院,臺南市崇德路６７０號
265,台灣杰士電池工業股份有限公司官田廠,臺南市官田區二鎮里工業路１５號
266,瑞華實業股份有限公司,臺南市山上區明和里北勢洲８８號
267,國邦化學股份有限公司,臺南市新市區港墘里興業路８號
268,財團法人中央廣播電臺,臺南市安南區本田路三段４２２號
269,統一化粧品企業股份有限公司,臺南市安南區工業二路７０號
270,世禾科技股份有限公司,臺南市安南區工業二路３５號
271,仲衛實業股份有限公司,臺南市新營區四維路８號
272,勇健工業股份有限公司台南廠,臺南市鹽水區汫水里溪州寮３－８號
273,台灣基督長老教會新樓醫療財團法人麻豆新樓醫院,臺南市麻豆區小埤里苓子林２０號一～十樓
274,允統塑膠工業股份有限公司,臺南市永康區尚頂路１６７號
275,佳大世界股份有限公司永康二廠,臺南市永康區中正北路９６５號
276,台灣百事食品（股）公司,臺南市新市區中山路１８１號
277,北儒精密股份有限公司,臺南市新市區環東路二段２３號
278,展旺生命科技股份有限公司南科分公司,臺南市新市區大順九路１１號
279,家福股份有限公司新營分公司,臺南市新營區健康路２５１號
280,上昇國際資產管理實業股份有限公司,臺南市新營區鐵線橋段１－１號
281,華光電線電纜股份有限公司,臺南市官田區南廍里南廍１２０號
282,天泰銲材工業股份有限公司,臺南市仁德區開發四路６號
283,登煌金屬股份有限公司,臺南市安南區東和里２－８號
284,賜益工業股份有限公司,臺南市官田區二鎮里鎮中路１號
285,龍璟光電股份有限公司,臺南市永康區環工路７５．７５－１號
286,溫士頓醫藥股份有限公司,臺南市永康區仁愛街１１７號
287,直得科技股份有限公司,臺南市新市區大利一路３號
288,統一企業股份有限公司（冰品廠）,臺南市永康區經中路１號
289,郡宏光電股份有限公司,臺南市官田區力行街２號之６
290,順越工業股份有限公司,臺南市新市區中正路２３巷６號
291,遠東百貨股份有限公司台南分公司,臺南市公園路６０號Ｂ１．Ｂ２．一～十樓
292,新光三越百貨（股）台南西門分公司,臺南市西門路一段６５８號
293,亞洲航空股份有限公司,臺南市南區機場路９０５號
294,遠百企業股份有限公司,臺南市永康區中正南路５３３號ＢＦ‧一二三樓
295,雅織流行（股）染整廠,臺南市仁德區太乙七街５號
296,運通工業股份有限公司,臺南市關廟區東榮街２９１號
297,佳和實業股份有限公司,臺南市新市區三舍里２０７號
298,晶元光電（股）公司（Ｓ１Ａ）,臺南市新市區大順九路１０號
299,財團法人國家實驗研究院國家高速網路與計算中心,臺南市新市區南科三路２８號
300,展旺生命科技股份有限公司南科分公司,臺南市新市區南科六路１號
301,力伽實業股份有限公司,臺南市安南區工環路１１號１－４樓
302,佳湘食品有限公司,臺南市西港區慶安里中州２６－１２號
303,世堃塑膠股份有限公司,臺南市麻豆區麻口里麻豆口３２－２７號
304,南良實業股份有限公司,臺南市永康區鹽洲里洲尾街４１巷１０號
305,新光人壽保險股份有限公司,臺南市民生路二段３０７號
306,統一企業股份有限公司新營廠,臺南市新營區工業街８３號
307,高雄榮民總醫院臺南分院,臺南市永康區復興路４２７號
308,南寶樹脂化學工廠股份有限公司第五廠,臺南市西港區中山路５０６號
309,達基能源技術股份有限公司,臺南市仁德區開發六路１０號
310,翰林出版事業股份有限公司新樂廠,臺南市南區新樂路７８號１－３樓
311,南億興業股份有限公司,臺南市新平路２５號
312,昇興熱處理股份有限公司,臺南市永康區中正南路３０６巷２０號
313,晉通化學工業（股）公司台南廠楊,臺南市仁德區文賢路二段４５號
314,漢泰國際電子股份有限公司,臺南市仁德區忠義路１２６巷２１號平房
315,偉發實業股份有限公司關廟廠,臺南市關廟區五甲里大順路１５７號
316,冠東實業廠股份有限公司,臺南市新市區中山路１７９號
317,國際日東科技股份有限公司,臺南市善化區環東路二段２６號１，２樓
318,台灣積體電路製造股份有限公司Ｆ１４Ｐ７廠,善科段１６４．１７７號及新市區新科段６４地號共三筆基地西側
319,安揚材料科技（股）公司,臺南市善化區北園一路１１號
320,臺南市臺南地區農會,臺南市怡安路二段１０２號
321,正慧食品工業股份有限公司台南分公司,臺南市安南區工業六路８號
322,南寶科技股份有限公司,臺南市西港區中山路４９２號
323,宗葆電線電纜股份有限公司沙崙廠,臺南市安定區中沙里沙崙２７號郭海明
324,新永和製皮廠股份有限公司,臺南市新營區新太路４５號
325,敏惠醫護管理專科學校,臺南市柳營區東昇里中山東路二段１１１６號
326,台暉鋁業股份有限公司,臺南市官田區二鎮里工業路１８號
327,華宏新技股份有限公司官田廠,臺南市官田區實踐街１號
328,台灣自來水股份有限公司第六區管理處,臺南市烏山頭給水廠官田區嘉南里６８號
329,寶一科技股份有限公司,臺南市新營區新工路１３巷１號
330,富強鑫精密工業（股）公司,臺南市關廟區保東路２６９號１．２樓
331,恆耀工業股份有限公司,臺南市仁德區新田二街３２號１樓
332,允連企業（股）,臺南市歸仁區中山路三段３５７號
333,財團法人國家實驗研究院國家實驗動物中心,臺南市新市區南科二路１７號
334,國立成功大學,臺南市安明路三段５００號
335,康那香企業股份有限公司口寮二廠,臺南市將軍區三吉里三吉６６－１號３．４樓
336,臺南市政府水利局（安平水資源回收中心）,臺南市健康路三段１５號
337,尚穩環保科技股份有限公司,臺南市官田區工業西路２號
338,三合溢企業股份有限公司,臺南市學甲區光華里頭港子１－２０號
339,統一企業股份有限公司（麻豆廠）,臺南市麻豆區麻口里麻豆口１－３０號
340,昇興熱處理股份有限公司,臺南市永康區中正南路３２４號
341,六曜工業股份有限公司,臺南市永康區經建路７號平房
342,色真顏料廠股份有限公司,臺南市仁德區中山路６４２號
343,顏氏興業有限公司,臺南市新營區嘉芳里五福路１２０號
344,堤維西交通工業股份有限公司,臺南市新樂路７２－２號
345,東帝士商場管理委員會,永康中華路３５５巷２０弄３號Ｂ１及地下室
346,億益企業有限公司,臺南市永康區國聖街２９６號
347,澤龍企業股份有限公司,臺南市仁德區文賢路二段１０６號
348,萬國通路股公司,臺南市歸仁區中山九街４０號
349,立康生物科技股份有限公司,臺南市永康區環工路３１號
350,東豐交通工業股份有限公司新市廠,臺南市新市區港墘里興業路１號
351,台灣大福高科技設備股份有限公司,臺南市新市區大業一路７號
352,東捷科技股份有限公司,臺南市新市區南科五路６號
353,富雅樂企業股份有限公司,臺南市善化區小新里苗圃巷１號
354,安集科技股份有限公司,臺南市安南區科技五路１９號
355,凱田實業有限公司台南廠,臺南市西港區慶安里中州２０－３號地下一樓，１－５樓
356,鉅橡企業股份有限公司,臺南市佳里區海澄里萊芊寮１２－２７號
357,和明紡織（股）公司坤進廠,臺南市七股區大埕里１８９號
358,弘運鋼鐵工業（股）台南廠,臺南市官田區二鎮里成功街６９號
359,真理大學,臺南市麻豆區北勢里北勢寮７０－１１號
360,光洋應用材料科技股份有限公司,臺南市柳營區大農里工一路２０號、２２號
361,六曜工業股份有限公司,臺南市永康區王行里環工路３之１號
362,建輝玻璃股份有限公司,臺南市安南區工業三路９０號
363,岱鑫科技（股）公司,臺南市麻豆區麻口里麻豆口２－９６號
364,台灣高速鐵路股份有限公司,臺南市歸仁區沙崙里歸仁大道１００號
365,金長榮國際實業股份有限公司,臺南市學甲區光華里頭港子１號
366,泰豐合金股份有限公司,臺南市永康區中山北路２５３號
367,和明紡織股份有限公司,臺南市安南區大聖路１８８號
368,中華電信公司台南營運處,臺南市民生路一段７８號
369,台南市德光高級中學,臺南市德光街１０６號一二三四樓
370,瑞賢實業股份有限公司中正廠,臺南市仁德區中正路三段３０８號
371,台灣鏵司企業股份有限公司歸仁廠,臺南市歸仁區南興里中山路三段３５５－３號
372,龍鋒企業（股）公司,臺南市永康區中山北路７６４巷２７號平房
373,皇田工業股份有限公司,臺南市永康區永科五路６號
374,順興永工業股份有限公司,臺南市永康區王行里環工路９１號
375,樺懋科技股份有限公司,臺南市龍崎區楠坑里楠坑４５號
376,南元紡織股份有限公司新化廠,臺南市新化區中山路８號吳天素
377,奇力光電科技股份有限公司,臺南市新市區風鈴路１２號
378,承鴻國際實業股份有限公司,臺南市佳里區海澄里萊芋寮１７－３號
379,鋼輝科技股份有限公司,臺南市官田區二鎮里建業路１９號
380,南榮學校財團法人南榮科技大學,臺南市鹽水區水秀里朝琴路１７８號
381,懋莉工業股份有限公司,臺南市永康區正南三路７５號
382,強新工業股份有限公司不銹鋼細線廠,臺南市佳里區海澄里萊芊寮１２－２２號
383,允成化學工業股份有限公司,臺南市善化區光文路１９號
384,亞獵士科技股份有限公司,臺南市山上區明和里北勢洲２１－２號平房
