編號,用戶名稱,用電地址
1,台灣積體電路製造股份有限公司（十四Ｐ３廠）,臺南市善化區南科北路１－２號
2,群創光電股份有限公司樹谷分公司（Ｅ廠－六廠）,臺南市新市區紫楝路２１號
3,台灣積體電路製造股份有限公司十四廠（Ｆ１４Ｐ５）,臺南市善化區南科九路１７號
4,群創光電股份有限公司（Ｄ廠－七廠）,臺南市新市區環西路一段３號Ｂ１－２樓
5,台灣積體電路製造股份有限公司（十四廠）,臺南市善化區南科北路１號之１
6,奇美實業股份有限公司,臺南市仁德區三甲里三甲子５９－１、５９－４號
7,群創光電股份有限公司（Ｄ廠－四廠ＬＣＭ四廠,臺南市新市區環西路一段３號
8,威致鋼鐵工業股份有限公司官田廠,臺南市官田區南廍里１２３號
9,台灣積體電路製造股份有限公司十四廠六期（Ｆ１４Ｐ６）,臺南市善化區南科九路１７號（善科段１６１－１６３地號）
10,群創光電股份有限公司（Ｂ廠－二／三廠）,臺南市新市區環西路二段２號
11,台灣積體電路製造股份有限公司六廠,臺南市善化區南科北路１號
12,聯華電子股份有限公司＜聯電三＞,臺南市新市區南科二路１８號
13,群創光電股份有限公司（Ｂ廠－五廠）,臺南市新市區環西路二段２－１號
14,華新麗華股份有限公司鹽水廠,臺南市鹽水區汫水里溪洲寮３－１０號
15,瀚宇彩晶股份有限公司台南科學園區分公司,臺南市新市區南科二路３５號（地下一樓至地上三樓）
16,聯華電子（股）公司,臺南市新市區南科二路２０號
17,奇美實業股份有限公司Ｂ區,臺南市仁德區三甲村三甲子５９－４號
18,統一實業股份有限公司,臺南市永康區中正北路８３７號
19,易昇鋼鐵股份有限公司,臺南市永康區正南一街２００號
20,榮剛材料科技股份有限公司,臺南市新營區新中路３５號
21,國立成功大學,臺南市東區大學路１號、小東路３３號及勝利路１３８號
22,台灣積體電路製造股份有限公司十四廠（Ｆ１４Ｐ５）,臺南市善化區南科九路１７號（１５７．１６１－１６３地號）
23,台灣高速鐵路股份有限公司,臺南市柳營區太康段６５０－１．６５０－８．５６４－１地號
24,三福氣體股份有限公司南科廠,臺南市善化區興農路７７２號
25,宏遠興業股份有限公司,臺南市山上區明和里明和２５６號一二樓
26,安瀚視特股份有限公司,臺南市安南區工業三路２１號１－６Ｆ，８號１－２Ｆ
27,台灣紙業股份有限公司新營紙廠,臺南市新營區南紙街９４號
28,台灣凸版國際彩光股份有限公司,臺南市安南區科技一路３６號
29,群創光電股份有限公司（Ａ廠－一廠）,臺南市新市區科學園區奇業路１號
30,東雲股份有限公司,臺南市新市區大營里３２９號
31,和鑫光電股份有限公司,臺南市新市區豐華里環西路一段８號
32,官田鋼鐵股份有限公司,臺南市官田區南廍里１１９－５號
33,東盟開發實業股份有限公司學甲廠,臺南市學甲區秀昌里一秀１５５號
34,台南紡織股份有限公司仁德廠,臺南市仁德區中正路二段８６２巷４５號
35,和鑫光電股份有限公司,臺南市善化區北園一路７號
36,旭硝子顯示玻璃（股）公司,臺南市新市區風鈴路１號
37,台南紡織股份有限公司新市廠,臺南市新市區永就里中華路１１１號
38,台南紡織股份有限公司太子廠,臺南市仁德區中正路三段４１９號
39,和鑫光電股份有限公司,臺南市安定區蘇厝段７３０－１３號
40,住華科技股份有限公司,臺南市善化區環東路二段３２號
41,南茂科技股份有限公司,臺南市新市區豊華里南科７路５號
42,聯華電子股份有限公司１２Ａ Ｐ５／Ｐ６（聯電五）,臺南市新市區南科三路５７號
43,安瀚視特股份有限公司,臺南市安南區工業三路８號１－２樓
44,統一企業股份有限公司新市廠,臺南市新市區大營里７號
45,茂迪股份有限公司園區分公司,臺南市新市區大順九路２號
46,統一企業股份有限公司,臺南市永康區中正路３０１號
47,群創光電股份有限公司（Ｃ廠－ＬＣＭ廠Ａ棟）,臺南市善化區南科八路１２號
48,森霸電力股份有限公司,臺南市山上區豐德里隙子口６６號
49,正達國際光電股份有限公司南科分公司,臺南市新市區環東路二段６號
