地區,姓名,號次,得票數,得票率
苗栗縣第02選區頭份鎮流東里第0218投開票所,楊長鎮,1,142,26.39%
苗栗縣第02選區頭份鎮流東里第0218投開票所,徐耀昌,2,396,73.60%
苗栗縣第02選區頭份鎮流東里第0219投開票所,楊長鎮,1,238,23.40%
苗栗縣第02選區頭份鎮流東里第0219投開票所,徐耀昌,2,779,76.59%
苗栗縣第02選區頭份鎮珊湖里第0220投開票所,楊長鎮,1,118,18.07%
苗栗縣第02選區頭份鎮珊湖里第0220投開票所,徐耀昌,2,535,81.92%
苗栗縣第02選區頭份鎮珊湖里第0221投開票所,楊長鎮,1,181,29.86%
苗栗縣第02選區頭份鎮珊湖里第0221投開票所,徐耀昌,2,425,70.13%
苗栗縣第02選區頭份鎮斗煥里第0222投開票所,楊長鎮,1,212,28.53%
苗栗縣第02選區頭份鎮斗煥里第0222投開票所,徐耀昌,2,531,71.46%
苗栗縣第02選區頭份鎮斗煥里第0223投開票所,楊長鎮,1,168,24.59%
苗栗縣第02選區頭份鎮斗煥里第0223投開票所,徐耀昌,2,515,75.40%
苗栗縣第02選區頭份鎮斗煥里第0224投開票所,楊長鎮,1,193,27.14%
苗栗縣第02選區頭份鎮斗煥里第0224投開票所,徐耀昌,2,518,72.85%
苗栗縣第02選區頭份鎮新華里第0225投開票所,楊長鎮,1,202,26.09%
苗栗縣第02選區頭份鎮新華里第0225投開票所,徐耀昌,2,572,73.90%
苗栗縣第02選區頭份鎮新華里第0226投開票所,楊長鎮,1,197,21.64%
苗栗縣第02選區頭份鎮新華里第0226投開票所,徐耀昌,2,713,78.35%
苗栗縣第02選區頭份鎮新華里第0227投開票所,楊長鎮,1,186,19.43%
苗栗縣第02選區頭份鎮新華里第0227投開票所,徐耀昌,2,771,80.56%
苗栗縣第02選區頭份鎮興隆里第0228投開票所,楊長鎮,1,222,25.17%
苗栗縣第02選區頭份鎮興隆里第0228投開票所,徐耀昌,2,660,74.82%
苗栗縣第02選區頭份鎮興隆里第0229投開票所,楊長鎮,1,214,29.11%
苗栗縣第02選區頭份鎮興隆里第0229投開票所,徐耀昌,2,521,70.88%
苗栗縣第02選區頭份鎮興隆里第0230投開票所,楊長鎮,1,238,24.38%
苗栗縣第02選區頭份鎮興隆里第0230投開票所,徐耀昌,2,738,75.61%
苗栗縣第02選區頭份鎮上埔里第0231投開票所,楊長鎮,1,228,21.88%
苗栗縣第02選區頭份鎮上埔里第0231投開票所,徐耀昌,2,814,78.11%
苗栗縣第02選區頭份鎮上埔里第0232投開票所,楊長鎮,1,167,21.68%
苗栗縣第02選區頭份鎮上埔里第0232投開票所,徐耀昌,2,603,78.31%
苗栗縣第02選區頭份鎮土牛里第0233投開票所,楊長鎮,1,160,27.07%
苗栗縣第02選區頭份鎮土牛里第0233投開票所,徐耀昌,2,431,72.92%
苗栗縣第02選區頭份鎮頭份里第0234投開票所,楊長鎮,1,163,24.51%
苗栗縣第02選區頭份鎮頭份里第0234投開票所,徐耀昌,2,502,75.48%
苗栗縣第02選區頭份鎮頭份里第0235投開票所,楊長鎮,1,191,23.87%
苗栗縣第02選區頭份鎮頭份里第0235投開票所,徐耀昌,2,609,76.12%
